book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Ps,18,7,1734,יהוה,,τον κυριον [17.7],False
Ps,18,7,1735,ואל,,και προς [17.7],False
Ps,18,7,1736,אלהי,,τον θεον μου [17.7],False
Ps,18,7,1737,אשוע,,εκεκραξα [17.7],False
Ps,18,7,1738,ישמע,,ηκουσεν [17.7],False
Ps,18,7,1739,מהיכלו,,εκ ναου [17.7],False
Ps,18,7,1740,•^[Element 'added' in the Greek (plus in the LXX).],,αγιου αυτου [17.7],True
Ps,18,7,1741,קולי,,φωνης μου [17.7],False
Ps,18,7,1742,ושועתי,,και η κραυγη μου [17.7],False
Ps,18,7,1743,לפניו,,ενωπιον αυτου [17.7],False
Ps,18,7,1744,תבוא,,εισελευσεται [17.7],False
Ps,18,7,1745,באזניו,,εις τα ωτα αυτου [17.7],False
Ps,18,8,1746,ותגעש,,και εσαλευθη [17.8],False
Ps,18,8,1747,ותרעש,,και εντρομος εγενηθη [17.8],False
Ps,18,8,1748,הארץ,,η γη [17.8],False
Ps,18,8,1749,ומוסדי,,και τα θεμελια [17.8],False
Ps,18,8,1750,הרים,,των ορεων [17.8],False
Ps,18,8,1751,ירגזו,,εταραχθησαν [17.8],False
Ps,18,8,1752,ויתגעשו,,και εσαλευθησαν [17.8],False
Ps,18,8,1753,כי,,οτι [17.8],False
Ps,18,8,1754,חרה,,ωργισθη [17.8],False
Ps,18,8,1755,לו,,αυτοις [17.8],False
Ps,18,8,1756,•^[Element 'added' in the Greek (plus in the LXX).],,ο θεος [17.8],True
Ps,18,9,1757,עלה,,ανεβη [17.9],False
Ps,18,9,1758,עשן,,καπνος [17.9],False
Ps,18,9,1759,באפו,,εν οργη αυτου [17.9],False
Ps,18,9,1760,ואש,,και πυρ [17.9],False
Ps,18,9,1761,מפיו,,απο προσωπου αυτου [17.9],False
Ps,18,9,1762,תאכל,,κατεφλογισεν [17.9],False
Ps,18,9,1763,גחלים,,ανθρακες [17.9],False
Ps,18,9,1764,בערו,,ανηφθησαν [17.9],False
Ps,18,9,1765,ממנו,,απ' αυτου [17.9],False
Ps,18,10,1766,ויט,,και εκλινεν [17.10],False
